,price,address,price_address_concat,count_address,duplicate,county_1,manual_label
66," €165,000.00 ","Apartment 12, Atlantic Coast, Tramore, Co. Waterford",,1,,Co. Waterford,
67," €295,000.00 ","48 Willow Wood Grove, Hartstown, Hartstown, Dublin 15",,1,,Co. Dublin,
68," €795,000.00 ","TRUMP INTERNATIONAL GOLF LINKS LIMITED, Trump International Golf Links & Hotel, Doonbeg, Co. Clare",,1,,Co. Clare,
69," €385,000.00 ","149 Millrace Road, Castleknock, Dublin 15",,1,,Co. Dublin,
70," €445,000.00 ","10 Tournore Park, Abbeyside, Dungarvan, Co. Waterford",,1,,Co. Waterford,
71," €359,000.00 ","15 The Park, Sligo, Co. Sligo",,1,,Co. Sligo,
72," €410,000.00 ","30 Glen Ellen Gardens, Swords, Co. Dublin",,1,,Co. Dublin,
73," €450,000.00 ","24 Kilvere Park, Cypress Downs, Templeogue, Dublin 6W",,1,,Co. Dublin,
74," €350,000.00 ","Bilboa, Cappamore, Co. Limerick",,1,,Co. Limerick,
75," €500,000.00 ","Beary's Cross, Boher, Co. Limerick",,1,,Co. Limerick,
76," €355,000.00 ","Coole, Ballyragget, Co. Kilkenny",,1,,Co. Kilkenny,
77," €725,000.00 ","One to Nine Priory, Delgany, Co. Wicklow",,1,,Co. Wicklow,
78," €360,000.00 ","8 Newtown Woods, Newtown Road, Co. Waterford",,1,,Co. Waterford,
79," €680,000.00 ","Clowney, Ballyconnell, Co. Cavan",,1,,Co. Cavan,
80," €849,000.00 ","1 Waterfall Avenue, Richmond Road, Dublin 3",,1,,Co. Dublin,
81," €285,000.00 ","Apartment 12, Dorset Square, Dublin 1",,1,,Co. Dublin,
82," €1,450,000.00 ","ATLANTIC PROJECTS COMPANY LIMITED, 3 Marine Road, Dun Laoghaire, Co. Dublin",,1,,Co. Dublin,
83," €310,000.00 ","3 Orchardstown Close, Butlerstown, Co. Waterford",,1,,Co. Waterford,
84," €410,000.00 ","Willow House, Barnakyle, Patrickswell, Co. Limerick",,1,,Co. Limerick,
85," €465,000.00 ","45 Cairnbrook Avenue, Carrickmines, Dublin 18",,1,,Co. Dublin,
86," €1,650,000.00 ","Glenealy House, Glenealy, Co. Wicklow",,1,,Co. Wicklow,
87," €430,000.00 ","16 Silverpines, Killarney Park, Bray, Co. Wicklow",,1,,Co. Wicklow,
88," €299,750.00 ","86 Lakeview, Rathbawn Road, Castlebar, Co. Mayo",,1,,Co. Mayo,
89," €1,450,000.00 ","Ardbeg, Model Farm Road, Co. Cork",,1,,Co. Cork,
90," €295,000.00 ","12 Sundays Well Road, Co. Cork",,1,,Co. Cork,
91," €275,000.00 ","8 Pembroke Close East, Passage West, Cork, Rochestown, Co. Cork",,1,,Co. Cork,
92," €325,000.00 ","Casa Jude, 6 Millfield Lawn, Dublin Hill, Blackpool, Co. Cork",,1,,Co. Cork,
93," €330,000.00 ","21 Supple Park, Dunshaughlin, Co. Meath",,1,,Co. Meath,
94," €250,000.00 ","6 Water Street, Youghal, Co. Cork",,1,,Co. Cork,
95," €345,000.00 ","34 Castletimon Avenue, Coolock, Kilmore, Dublin 5",,1,,Co. Dublin,
96," €390,000.00 ","Cokery House, Cavansheath, Ballyfin, Co. Laois",,1,,Co. Laois,
97," €450,000.00 ","16 Faulkners Terrace, Kilmainham, Dublin 8",,1,,Co. Dublin,
98," €350,000.00 ","Prague Ville, 7 Beechwood Drive, Ballinlough, Co. Cork",,1,,Co. Cork,
99," €575,000.00 ","Rushworth, Muckross Road, Killarney, Co. Kerry",,1,,Co. Kerry,
100," €550,000.00 ","Apartment 37, Forbes Quay Apartments, Grand Canal Dock, Dublin 2",,1,,Co. Dublin,
5333," €290,000.00 ","1 Drumaconn, Cornamaddy, Athlone, Co. Westmeath","2900001 Drumaconn, Cornamaddy, Athlone, Co. Westmeath",2,2,Co. Westmeath,
102," €1,395,000.00 ","Laurel House, 122, Ranelagh, Dublin 6",,1,,Co. Dublin,
103," €620,000.00 ","Devon View House, Pearse Square, Youghal, Co. Cork",,1,,Co. Cork,
104," €395,000.00 ","The Haven, Carrowbaun, Westport, Co. Mayo",,1,,Co. Mayo,
105," €560,000.00 ","The Old Post Office, Post Office Road, Lusk, Co. Dublin",,1,,Co. Dublin,
106," €395,000.00 ","Wellfield, Mountrath Road, Portlaoise, Co. Laois",,1,,Co. Laois,
107," €229,000.00 ","Rose Cottage, Mountarmstrong, Donadea, Co. Kildare",,1,,Co. Kildare,
108," €550,000.00 ","32 Beverly Crescent, Knocklyon, Dublin 16",,1,,Co. Dublin,
109," €4,750,000.00 ","Tresillian House, Brighton Road, Foxrock, Dublin 18",,1,,Co. Dublin,
113," €750,000.00 ","Gentle House, Knockanree, Avoca, Co. Wicklow",,1,,Co. Wicklow,
114," €395,000.00 ","Avalon House, Avalon House, 13 Moylena, Tullamore, Co. Offaly",,1,,Co. Offaly,
115," €290,000.00 ","146 An Fiodan, Doughiska, Co. Galway",,1,,Co. Galway,
116," €445,000.00 ","Setting Sun, Ballyhack Lower, Arthurstown, Co. Wexford",,1,,Co. Wexford,
117," €125,000.00 ","Ratra, Tibohine, Tibohine, Co. Roscommon",,1,,Co. Roscommon,
118," €430,000.00 ","46 Saint Brigid's Park, Foxrock, Foxrock, Dublin 18",,1,,Co. Dublin,
120," €279,000.00 ","20 Rosewood Rise, Ballylangley, Bandon, Co. Cork",,1,,Co. Cork,
121," €199,000.00 ","5 Castlequarter Heights, Fedamore, Co. Limerick",,1,,Co. Limerick,
122," €200,000.00 ","35 Garden View, Creggaunahilla, Ennis, Co. Clare",,1,,Co. Clare,
123," €945,000.00 ","3 Merton Walk, Mount St Annes, Milltown, Dublin 6",,1,,Co. Dublin,
124," €449,500.00 ","16 Knockaderry, Liscannor, Co. Clare",,1,,Co. Clare,
125," €279,000.00 ","28 Westfields, Clare Road, Ennis, Co. Clare",,1,,Co. Clare,
126," €395,000.00 ","2 Eastmore, Bushy Park Road, Terenure, Dublin 6",,1,,Co. Dublin,
127," €300,000.00 ","Seefin, Church Road, Durrus, Co. Cork",,1,,Co. Cork,
128," €1,295,000.00 ","Carrigfoyle, 13 Maryborough Orchard, Maryborough Hill, Douglas, Co. Cork",,1,,Co. Cork,
129," €265,000.00 ","35 Kilkee House, Clare Village, Clarehall, Dublin 13",,1,,Co. Dublin,
130," €350,000.00 ","Heatherbank, Oulart Village, Oulart, Co. Wexford",,1,,Co. Wexford,
131," €495,000.00 ","Apartment 14, Block 1, Clearwater Cove, Dun Laoghaire, Co. Dublin",,1,,Co. Dublin,
132," €199,999.00 ","22 Lime Tree Avenue, Portlaoise, Co. Laois",,1,,Co. Laois,
133," €165,000.00 ","381 The Sycamores, Kilnacourt Woods, Portarlington, Co. Laois",,1,,Co. Laois,
134," €315,000.00 ","26 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork",,1,,Co. Cork,
136," €269,000.00 ","23 Iniscarrigh, Saint Flannans Drive, Ennis, Co. Clare",,1,,Co. Clare,
138," €229,000.00 ","19 Beechwood, Clarecastle, Co. Clare",,1,,Co. Clare,
139," €3,800,000.00 ","78 Merrion Road, Ballsbridge, Dublin 4",,1,,Co. Dublin,
140," €395,000.00 ","Cedar Lodge, Ballincar, Rosses Point, Co. Sligo",,1,,Co. Sligo,
141," €525,000.00 ","23 Fontenoy Street, Phibsborough, Dublin 7",,1,,Co. Dublin,
144," €750,000.00 ","132 Botanic Avenue, Glasnevin, Dublin 9",,1,,Co. Dublin,
145," €497,000.00 ","157 Esker Lawns, Lucan, Co. Dublin",,1,,Co. Dublin,
146," €255,000.00 ","10 Evergreen Street, Co. Cork",,1,,Co. Cork,
147," €375,000.00 ","25 Forest Green, Swords, Co. Dublin",,1,,Co. Dublin,
148," €165,000.00 ","12 Abhann Dubh, Patrick Street, Portarlington, Co. Laois",,1,,Co. Laois,
149," €825,000.00 ","Clifford House, Ballinlough Road, Ballinlough, Co. Cork",,1,,Co. Cork,
150," €245,000.00 ","94 Eallagh, Headford, Co. Galway",,1,,Co. Galway,
151," €325,000.00 ","43 Rosehaven, Castleknock, Dublin 15",,1,,Co. Dublin,
154," €185,000.00 ","32 Radharc An Bhaile, Bandon, Co. Cork",,1,,Co. Cork,
155," €375,000.00 ","51 Hazelbury Green, Clonee, Dublin 15",,1,,Co. Dublin,
156," €185,000.00 ","2 Old Wood, Cliffoney, Co. Sligo",,1,,Co. Sligo,
157," €305,000.00 ","Redtops, Dunmanway Road, Bandon, Co. Cork",,1,,Co. Cork,
158," €395,000.00 ","Apartment 17, Chamberlain Court, 11/13 Richmond Avenue, Dublin 3",,1,,Co. Dublin,
159," €295,000.00 ","1 Beechmount Grove, Navan, Co. Meath",,1,,Co. Meath,
160," €3,000,000.00 ","11 Raglan Road, Ballsbridge, Dublin 4",,1,,Co. Dublin,
161," €590,000.00 ","12 Auburn Drive, Castleknock, Castleknock, Dublin 15",,1,,Co. Dublin,
163," €120,000.00 ","78 Rahoonane, Monavalley, Tralee, Co. Kerry",,1,,Co. Kerry,
164," €235,000.00 ","23 Radharc Na Mara, Coolcotts, Wexford Town, Co. Wexford",,1,,Co. Wexford,
165," €195,000.00 ","2 Ardnacassa Manor, Longford Town, Co. Longford",,1,,Co. Longford,
167," €545,000.00 ","188 Beech Park, Lucan, Co. Dublin",,1,,Co. Dublin,
168," €1,950,000.00 ","Villa Vico, Sorrento Road, Dalkey, Co. Dublin",,1,,Co. Dublin,
169," €380,000.00 ","10 Thornville Avenue, Kilbarrack, Dublin 5",,1,,Co. Dublin,
170," €425,000.00 ","21 Deepdales, Southern Cross Road, Bray, Co. Wicklow",,1,,Co. Wicklow,
171," €620,000.00 ","11 & 12 Wilson Terrace, Hanbury Lane, Dublin 8",,1,,Co. Dublin,
172," €725,000.00 ","Carn, 31 Barnhill Road, Dalkey, Co. Dublin",,1,,Co. Dublin,
173," €189,500.00 ","79 Chestnut Grove, Castlebar, Co. Mayo",,1,,Co. Mayo,
174," €775,000.00 ","Greenwood Cottage, Greenwood, Kinsealy, Co. Dublin",,1,,Co. Dublin,
175," €285,000.00 ","50 Poplar Drive, Carraig An Aird, Six Cross Roads, Waterford, Co. Waterford",,1,,Co. Waterford,
178," €145,000.00 ","Bayview, Ballisodare, Co. Sligo",,1,,Co. Sligo,
179," €240,000.00 ","Claragh Irish, Lavagh, Ballymote, Co. Sligo",,1,,Co. Sligo,
180," €435,000.00 ","17 Dunbur Park, Wicklow Town, Co. Wicklow",,1,,Co. Wicklow,
181," €395,000.00 ","18 Honeywell, ToberteascÃ¡in, Ennis, Co. Clare",,1,,Co. Clare,
182," €360,000.00 ","11 Reilly's Avenue, Cork Street, Dolphin's Barn, Dublin 8",,1,,Co. Dublin,
183," €220,000.00 ","8 Millbrook Apartments, Millbrook, Navan, Co. Meath",,1,,Co. Meath,
184," €249,000.00 ","Patrick Street, Portarlington, Co. Laois",,1,,Co. Laois,
185," €185,000.00 ","9 Priest's Lane, Drogheda, Co. Louth",,1,,Co. Louth,
186," €320,000.00 ","101 The Rectory, Enniskerry Road, Stepaside, Dublin 18",,1,,Co. Dublin,
187," €450,000.00 ","Longshore Cottage, Burrow Road, Portrane, Co. Dublin",,1,,Co. Dublin,
189," €350,000.00 ","Church Cross, Skibbereen, Co. Cork",,1,,Co. Cork,
190," €395,000.00 ","39 Aughrim Hall, Aughrim, Co. Wicklow",,1,,Co. Wicklow,
191," €565,000.00 ","Clovelly, Castletown, Tramore, Co. Waterford",,1,,Co. Waterford,
192," €235,000.00 ","72 Orrery Road, Gurranebraher, Gurranabraher, Co. Cork",,1,,Co. Cork,
193," €550,000.00 ","Maple Run, Old Johnstown, Navan, Co. Meath",,1,,Co. Meath,
194," €250,000.00 ","15 Elm Park House, Grange Wood, Rathfarnham, Dublin 16",,1,,Co. Dublin,
195," €495,000.00 ","New Build, Ahiohill, Clonakilty, Co. Cork",,1,,Co. Cork,
196," €295,000.00 ","Apartment 169, The Gallery, Donabate, Co. Dublin",,1,,Co. Dublin,
197," €220,000.00 ","3 Hynes Yard, Merchants Road, Co. Galway",,1,,Co. Galway,
198," €395,000.00 ","11 Ros Na RÃ­, Shanaway Road, Ennis, Co. Clare",,1,,Co. Clare,
199," €550,000.00 ","Sheane House, Irishtown, Mountmellick, Co. Laois",,1,,Co. Laois,
200," €199,500.00 ","Westview, 1 Viewpoint, Pound Road, Castlebar, Co. Mayo",,1,,Co. Mayo,
201," €199,950.00 ","9 Harmony Heights, Castlebar, Co. Mayo",,1,,Co. Mayo,
202," €185,000.00 ","Chapel Street, Kiltimagh, Co. Mayo",,1,,Co. Mayo,
203," €335,000.00 ","Graigue Cottage, Forest Road, Carrigaline, Co. Cork",,1,,Co. Cork,
204," €695,000.00 ","Apartment 21, Block H, Hanover Quarter, Dublin 2",,1,,Co. Dublin,
205," €135,000.00 ","Apartment 19, Bowers View, Ballinrobe, Co. Mayo",,1,,Co. Mayo,
206," €215,000.00 ","17 The Concert Building, Park West, Dublin 12",,1,,Co. Dublin,
207," €740,000.00 ","30 Talbot Court, Castleknock, Dublin 15",,1,,Co. Dublin,
221," €199,000.00 ","373 The Sycamores, Kilnacourt Woods, Portarlington, Co. Laois",,1,,Co. Laois,
223," €785,000.00 ","Cragmoher House, Cragmoher, Corofin, Ennis, Co. Clare",,1,,Co. Clare,
224," €295,000.00 ","84 Meadow View, Drogheda, Co. Louth",,1,,Co. Louth,
225," €350,000.00 ","26 Upper Beaumont Drive, Ballintemple, Ballintemple, Co. Cork",,1,,Co. Cork,
226," €275,000.00 ","10 Corr Na Meala, Birr, Co. Offaly",,1,,Co. Offaly,
227," €315,000.00 ","John's Terrace, Birr, Co. Offaly",,1,,Co. Offaly,
228," €725,000.00 ","6A Woodbine Road, Booterstown, Co. Dublin",,1,,Co. Dublin,
229," €285,000.00 ","25 Woodhaven, Kilrush Road, Ennis, Co. Clare",,1,,Co. Clare,
231," €259,000.00 ","CluainbÃ¡n, 91 Abbey Court, Clare Road, Ennis, Co. Clare",,1,,Co. Clare,
233," €385,000.00 ","2 Abbeyvale Court, Swords, Co. Dublin",,1,,Co. Dublin,
234," €195,000.00 ","3C Haydens Lane, Main Street, Kinsale, Co. Cork",,1,,Co. Cork,
235," €295,000.00 ","""Rocketts of the Metalman"", Westtown, Tramore, Co. Waterford",,1,,Co. Waterford,
236," €425,000.00 ","14 Saint Christophers Walk, Montenotte, Co. Cork",,1,,Co. Cork,
237," €245,000.00 ","20 Meadowvale, Coolcotts, Wexford Town, Co. Wexford",,1,,Co. Wexford,
238," €865,000.00 ","70 St Alban's Park, Sandymount, Dublin 4",,1,,Co. Dublin,
239," €450,000.00 ","Hillside, 12 Ballinahinch Terrace, Ashford, Co. Wicklow",,1,,Co. Wicklow,
240," €325,000.00 ","Liskeveen, Littleton, Thurles, Co. Tipperary",,1,,Co. Tipperary,
241," €549,000.00 ","Rathpatrick, Slieverue, Co. Kilkenny",,1,,Co. Kilkenny,
242," €290,000.00 ","58 Sandygrove, Blackrock, Co. Louth",,1,,Co. Louth,
243," €595,000.00 ","Rere of 3, Charlemont Terrace, Dun Laoghaire, Co. Dublin",,1,,Co. Dublin,
244," €395,000.00 ","Killoughter, Redhills, Co. Cavan","395000Killoughter, Redhills, Co. Cavan",2,1,Co. Cavan,
245," €335,000.00 ","24 Clochog, Oranmore, Co. Galway",,1,,Co. Galway,
246," €410,000.00 ","96 The Green, Coolroe Meadows, Ballincollig, Co. Cork",,1,,Co. Cork,
247," €330,000.00 ","27 Ros MÃ©Â­n, Tullyvarraga, Shannon, Co. Clare",,1,,Co. Clare,
248," €685,000.00 ","39 Grattan Park, Salthill, Co. Galway",,1,,Co. Galway,
249," €495,000.00 ","22 Main Road, Tallaght, Tallaght, Dublin 24",,1,,Co. Dublin,
250," €720,000.00 ","169 Seapark, Malahide, Co. Dublin",,1,,Co. Dublin,
251," €185,000.00 ","4 Saint Joseph's Avenue, Boyle, Co. Roscommon",,1,,Co. Roscommon,
252," €750,000.00 ","90 Castleknock Park, Castleknock, Dublin 15",,1,,Co. Dublin,
254," €390,000.00 ","Killaghy Street, Mullinahone, Co. Tipperary","390000Killaghy Street, Mullinahone, Co. Tipperary",2,1,Co. Tipperary,
255," €395,000.00 ","3 Millbrook, Rathmullan, Co. Donegal",,1,,Co. Donegal,
256," €500,000.00 ","Moymore House, Moymore, Pallasgreen, Co. Limerick",,1,,Co. Limerick,
258," €400,000.00 ","Sandville House, Aghavoher, Ballyconnell, Co. Cavan",,1,,Co. Cavan,
259," €325,000.00 ","Three Chimneys, Creamery Road, Piltown, Co. Kilkenny",,1,,Co. Kilkenny,
260," €1,450,000.00 ","Yellowood, 18A Stillorgan Park Avenue, Blackrock, Co. Dublin",,1,,Co. Dublin,
261," €1,150,000.00 ","Penthouse 72, Woodview, Blackrock, Co. Dublin",,1,,Co. Dublin,
262," €495,000.00 ","An CnocÃ¡n, Ballyoshea, Kildimo, Co. Limerick",,1,,Co. Limerick,
264," €379,000.00 ","8 Inis Ã“rga, Curryclogh, Bandon, Co. Cork",,1,,Co. Cork,
265," €395,000.00 ","13 Pembroke Cottages, Dundrum, Dundrum, Dublin 14",,1,,Co. Dublin,
267," €575,000.00 ","Castletown Manor, Cottlestown, Sligo, Co. Sligo",,1,,Co. Sligo,
268," €225,000.00 ","14 Riverside, Portarlington, Co. Laois",,1,,Co. Laois,
269," €299,000.00 ","48 Gort Na Ri, Ennis, Co. Clare",,1,,Co. Clare,
270," €287,000.00 ","Aughamore, Clane, Co. Kildare",,1,,Co. Kildare,
273," €825,000.00 ","Donnybrook Gardens, Dublin 4",,1,,Co. Dublin,
274," €300,000.00 ","Graydon, Newcastle, Co. Dublin",,1,,Co. Dublin,
275," €485,000.00 ","Archers Wood, Delgany, Co. Wicklow",,1,,Co. Wicklow,
276," €1,150,000.00 ","155 Vernon Avenue, Clontarf, Clontarf, Dublin 3",,1,,Co. Dublin,
277," €685,000.00 ","22 The Spires, Donabate, Co. Dublin",,1,,Co. Dublin,
278," €779,000.00 ","Drominagh Lodge, Drominagh, Ballinderry, Nenagh, Co. Tipperary",,1,,Co. Tipperary,
279," €185,000.00 ","Kylemore, Killimor, Co. Galway",,1,,Co. Galway,
280," €725,000.00 ","30 Trimleston Gardens, Booterstown, Co. Dublin",,1,,Co. Dublin,
281," €349,000.00 ","Ballylee, Gort, Co. Galway","349000Ballylee, Gort, Co. Galway",2,1,Co. Galway,
282," €225,000.00 ","Apartment 60, Mayeston Crescent, Saint Margaret's Road, Finglas, Dublin 11",,1,,Co. Dublin,
284," €275,000.00 ","23 Wolfe Tone Street, Kilkenny, Co. Kilkenny",,1,,Co. Kilkenny,
285," €350,000.00 ","Two Derelict Cottages, Ounavarra, Coldblow, Lucan, Co. Dublin",,1,,Co. Dublin,
286," €1,035,000.00 ","2 The Avenue, Cypress Downs, Templeogue, Dublin 6W",,1,,Co. Dublin,
287," €195,000.00 ","Main Street, Aughnacliffe, Co. Longford",,1,,Co. Longford,
288," €525,000.00 ","73 Meadowbank, Bushy Park Road, Terenure, Dublin 6",,1,,Co. Dublin,
289," €625,000.00 ","Rose Cottage, Rose Cottage, 10 Rochestown Ave, Dun Laoghaire, Co. Dublin",,1,,Co. Dublin,
290," €425,000.00 ","22 Upper Glencairn, Riverstown, Glanmire, Co. Cork",,1,,Co. Cork,
291," €150,000.00 ","Apartment 15, Cartron Court, Sligo, Co. Sligo",,1,,Co. Sligo,
292," €625,000.00 ","8 Wendell Avenue, Portmarnock, Co. Dublin",,1,,Co. Dublin,
