,price,address
83,"€310,000 ","3 Orchardstown Close, Butlerstown, Co. Waterford"
84,"€410,000 ","Willow House, Barnakyle, Patrickswell, Co. Limerick"
85,"€465,000 ","45 Cairnbrook Avenue, Carrickmines, Dublin 18"
86,"€1,650,000 ","Glenealy House, Glenealy, Co. Wicklow"
87,"€430,000 ","16 Silverpines, Killarney Park, Bray, Co. Wicklow"
88,"€299,750 ","86 Lakeview, Rathbawn Road, Castlebar, Co. Mayo"
89,"€1,450,000 ","Ardbeg, Model Farm Road, Co. Cork"
90,"€295,000 ","12 Sundays Well Road, Co. Cork"
91,"€275,000 ","8 Pembroke Close East, Passage West, Cork, Rochestown, Co. Cork"
92,"€325,000 ","Casa Jude, 6 Millfield Lawn, Dublin Hill, Blackpool, Co. Cork"
93,"€330,000 ","21 Supple Park, Dunshaughlin, Co. Meath"
94,"€250,000 ","6 Water Street, Youghal, Co. Cork"
95,"€345,000 ","34 Castletimon Avenue, Coolock, Kilmore, Dublin 5"
96,"€390,000 ","Cokery House, Cavansheath, Ballyfin, Co. Laois"
97,"€450,000 ","16 Faulkners Terrace, Kilmainham, Dublin 8"
98,"€350,000 ","Prague Ville, 7 Beechwood Drive, Ballinlough, Co. Cork"
99,"€575,000 ","Rushworth, Muckross Road, Killarney, Co. Kerry"
100,"€550,000 ","Apartment 37, Forbes Quay Apartments, Grand Canal Dock, Dublin 2"
101,"€495,000 ","Tobercrossaun, Headford, Co. Galway"
102,"€1,395,000 ","Laurel House, 122, Ranelagh, Dublin 6"
103,"€620,000 ","Devon View House, Pearse Square, Youghal, Co. Cork"
104,"€395,000 ","The Haven, Carrowbaun, Westport, Co. Mayo"
105,"€560,000 ","The Old Post Office, Post Office Road, Lusk, Co. Dublin"
106,"€395,000 ","Wellfield, Mountrath Road, Portlaoise, Co. Laois"
107,"€229,000 ","Rose Cottage, Mountarmstrong, Donadea, Co. Kildare"
108,"€550,000 ","32 Beverly Crescent, Knocklyon, Dublin 16"
109,"€4,750,000 ","Tresillian House, Brighton Road, Foxrock, Dublin 18"
110,Price on Application ,"Bellingsfield , Pipers Hill, Naas, Co. Kildare"
111,Price on Application ,"Bellingsfield , Pipers Hill, Naas, Co. Kildare"
112,Launching soon- register your interest today! Stunning 3 & 4 bedroom homes in a great location ,"Domville, Cherrywood, Co. Dublin"
113,"€750,000 ","Gentle House, Knockanree, Avoca, Co. Wicklow"
114,"€395,000 ","Avalon House, Avalon House, 13 Moylena, Tullamore, Co. Offaly"
115,"€290,000 ","146 An Fiodan, Doughiska, Co. Galway"
116,"€445,000 ","Setting Sun, Ballyhack Lower, Arthurstown, Co. Wexford"
117,"€125,000 ","Ratra, Tibohine, Tibohine, Co. Roscommon"
118,"€430,000 ","46 Saint Brigid's Park, Foxrock, Foxrock, Dublin 18"
119,Price on Application ,"Coil Coille, 80 Slieve Rua Drive, Stillorgan, Co. Dublin"
120,"€279,000 ","20 Rosewood Rise, Ballylangley, Bandon, Co. Cork"
121,"€199,000 ","5 Castlequarter Heights, Fedamore, Co. Limerick"
122,"€200,000 ","35 Garden View, Creggaunahilla, Ennis, Co. Clare"
123,"€945,000 ","3 Merton Walk, Mount St Annes, Milltown, Dublin 6"
124,"€449,500 ","16 Knockaderry, Liscannor, Co. Clare"
125,"€279,000 ","28 Westfields, Clare Road, Ennis, Co. Clare"
126,"€395,000 ","2 Eastmore, Bushy Park Road, Terenure, Dublin 6"
127,"€300,000 ","Seefin, Church Road, Durrus, Co. Cork"
128,"€1,295,000 ","Carrigfoyle, 13 Maryborough Orchard, Maryborough Hill, Douglas, Co. Cork"
129,"€265,000 ","35 Kilkee House, Clare Village, Clarehall, Dublin 13"
130,"€350,000 ","Heatherbank, Oulart Village, Oulart, Co. Wexford"
131,"€495,000 ","Apartment 14, Block 1, Clearwater Cove, Dun Laoghaire, Co. Dublin"
132,"€199,999 ","22 Lime Tree Avenue, Portlaoise, Co. Laois"
133,"€165,000 ","381 The Sycamores, Kilnacourt Woods, Portarlington, Co. Laois"
134,"€315,000 ","26 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork"
135,Come Home to Exceptional Living  ,"Donacarney Wood, Mornington, Co. Meath"
136,"€269,000 ","23 Iniscarrigh, Saint Flannans Drive, Ennis, Co. Clare"
137,Home at last… ,"Oak Church, Kildare, Co. Kildare"
138,"€229,000 ","19 Beechwood, Clarecastle, Co. Clare"
139,"€3,800,000 ","78 Merrion Road, Ballsbridge, Dublin 4"
140,"€395,000 ","Cedar Lodge, Ballincar, Rosses Point, Co. Sligo"
141,"€525,000 ","23 Fontenoy Street, Phibsborough, Dublin 7"
142,London's Finest Developers In Portlaoise's Finest Address. PHASE TWO ALMOST SOLD OUT ,"Foxburrow, Stradbally Road Portlaoise, Portlaoise, Co. Laois"
143,Extremely Spacious & Prestigious Homes ,"Holdbrook, Dublin Road, Portlaoise, Portlaoise, Co. Laois"
144,"€750,000 ","132 Botanic Avenue, Glasnevin, Dublin 9"
145,"€497,000 ","157 Esker Lawns, Lucan, Co. Dublin"
